Open,High,Low,Close,Volume,ema_200,ema_9,ema_21,ema_55,ema_100,supertrend,hma_100,psar,rsi_14,macd,macd_signal,macd_hist,hlc3,esa,d,ci,tci,wt1,wt2,k,bb_upper,bb_middle,bb_lower,atr_1,long_stop,short_stop,stddev,upper_rvi,lower_rvi,rvi,obv,mf_mult,mf_vol,cmf,buy_signal,sell_signal
932.45,937.8,922.6,932.2,3346083,,937.691954286079,,,,870.8926317048865,,958.557404,46.804070109988004,,,,930.8666666666668,937.3491772834965,32.18453309536145,-44.69407778569965,,,,30.258302583025973,964.2743419426497,937.6575,911.0406580573504,15.199999999999932,909.6800000000001,950.7199999999999,12.007847023988615,5.300052188478703,4.312028997230779,55.139486299371065,28959558,0.26315789473685075,880548.1578947657,,False,False
908.0,932.95,905.1,928.7,4764440,,935.8935634288632,937.2140168421188,,,865.1683685343978,,955.99195976,44.906581109057036,,,,922.25,934.3293418267973,29.64013173579427,-79.32766779799745,,,,36.36363636363641,964.2796601479074,937.4574999999999,910.6353398520923,27.850000000000023,881.4275,956.6225000000001,12.722641473397065,4.593378563348209,5.433443994052951,45.81090905969678,24195118,0.694793536804309,3310302.118491922,,False,False
912.0,917.25,904.0,906.6,6371695,,930.0348507430906,934.4309244019262,,,842.011531680958,,951.9206029792,35.202085777271094,,,,909.2833333333333,929.3201401281045,23.52044429535212,-110.13615205309172,,,,3.9393939393939736,966.1696405862725,936.26,906.3503594137275,24.700000000000045,871.555,949.695,16.084499290442313,3.980928088235115,6.853584700238199,36.74302819108182,17823423,-0.6075471698113173,-3871105.2641509213,,False,False
936.0,936.0,912.95,919.55,9202717,,927.9378805944725,933.0781130926601,,,852.6003785128621,,947.12854268128,42.97825408862179,,,,922.8333333333334,928.0227787691504,21.287878787878793,-32.210488470041845,,,,23.56060606060599,966.4319543699362,935.8025,905.1730456300638,29.399999999999977,881.61,967.34,15.723180026683924,5.546561680028289,5.939773406873106,48.28834992245167,27026140,-0.42733188720174214,-3932614.4229935547,,False,False
953.1,958.9,928.0,932.3,8368960,,928.810304475578,933.007375538782,,,860.2403406615759,,928.0,49.41480427634277,,,,939.7333333333332,930.3648896819869,23.459595959595926,59.674021698294204,,,,42.87878787878781,966.4179681255109,936.2175,906.017031874489,39.35000000000002,886.1025,1000.7975,15.700643564304318,6.900439264598426,5.147803619290025,57.273407675288965,35395100,-0.7216828478964429,-6039734.886731415,,False,False
943.75,952.75,940.45,949.75,9511818,,932.9982435804625,934.5294323079836,,,878.7613065954184,,912.95,56.63034022149608,,,,947.65,933.8219117455895,45.2525252525252,82.76367262964357,,,,69.31818181818181,967.3130907163015,937.8199999999999,908.3269092836983,20.450000000000045,914.9174999999999,978.2825000000001,15.717276611770451,8.076017577554696,4.461429803384688,64.41516627884415,44906918,0.5121951219512177,4871906.780487788,,False,False
935.1,948.1,932.4,946.2,4842336,,935.63859486437,935.5903930072578,,,877.1051759358766,,913.869,54.9142204771189,-0.039730158744077926,,,942.2333333333332,935.5041960631384,58.71212121212121,43.738079263970576,,,,63.93939393939401,966.8813028742592,939.4725000000001,912.063697125741,17.350000000000023,916.0024999999999,964.4975000000001,14.568708684275007,6.9992152338807365,5.809066987503398,54.646010393143584,40064582,0.757961783439494,3670305.6305732657,,False,False
932.25,945.2,929.1,935.1,6926928,,935.5308758914961,935.5458118247798,,,867.7846583422889,,914.76962,49.829530040881984,-0.0678018721156377,,,936.4666666666667,935.6966901838441,60.126262626262665,6.140626226335092,,,,47.12121212121215,966.8950141552473,939.5199999999999,912.1449858447525,17.100000000000023,913.565,960.735,11.647967698922814,6.065986536029972,6.58758708235932,47.938920015562594,33137654,-0.25465838509316874,-1764000.2981366531,,False,False
939.75,944.95,932.6,938.15,7359261,,936.0547007131969,935.7825562043453,,,873.86119250806,,915.6522276000001,51.16751149878062,0.1542821344693266,,,938.5666666666667,936.2706854804087,55.499639249639266,21.417658758201412,-5.729272048468454,-5.729272048468454,,55.43831168831163,966.9730122790295,939.65,912.3269877209705,12.350000000000023,922.1025,955.4475000000001,11.432299902495725,6.781494984892072,5.709242138044744,54.292192031158606,40496915,-0.10121457489879444,-744864.4736842769,,False,False
945.65,950.15,938.5,942.4,8573479,,937.3237605705576,936.3841420039502,,,880.940073257254,,916.5171830480001,53.046581323809335,0.6655527135945931,,,943.6833333333334,937.7532150509937,57.50162633359353,57.26779807143604,3.9625848930553156,3.9625848930553156,,69.94535519125682,966.2476121822253,939.2825,912.3173878177747,12.0,927.9499999999999,960.7,11.832415670777388,7.4549510763434474,4.9480098529721115,60.1062207551019,49070394,-0.3304721030042944,-2833295.635193155,,False,False
940.2,949.3,936.6,944.6,8136559,,938.7790084564461,937.1310381854092,,,885.4760659315286,,917.3648393870401,54.032638442870024,1.2340347603326336,,,943.5,938.902572040795,66.44543601510814,47.576261861800496,10.672381349785343,10.672381349785343,,73.95264116575599,965.3452704222176,938.905,912.4647295777824,12.699999999999932,925.8050000000001,960.0949999999999,12.334439190798777,8.105549491604158,4.288275205909163,65.39990430258743,57206953,0.2598425196850461,2114223.992126039,,False,False
929.9,941.15,922.0,938.65,7621788,,938.753206765157,937.2691256230993,,,878.6584593383757,,918.1955425992993,50.91815192625595,1.1907197284568838,,,933.9333333333334,937.9087242993028,69.00425015179114,-44.550969943314534,2.1764811508469,2.1764811508469,2.7705438363047765,63.11475409836064,962.7253096657423,937.9,913.0746903342576,22.600000000000023,899.3399999999999,963.8100000000001,12.099799647727602,7.02480955939027,5.3298117981516215,56.859772194491164,49585165,0.7389033942558744,5631765.023498693,,False,False
944.0,945.0,927.6,933.7,8018981,,937.7425654121256,936.944659657363,,,874.4876134045383,,919.0096317473133,48.41776108291074,0.7483421994551236,,,935.4333333333334,937.413646106109,63.721918639951475,-25.60963109060878,-2.0983053478385894,-2.0983053478385894,3.678285511462242,54.09836065573781,962.4624667051742,937.5899999999999,912.7175332948257,17.399999999999977,912.8100000000001,959.79,12.081425136685274,6.088168284804901,6.230026909956108,49.42419070769579,41566184,-0.29885057471264015,-2396477.080459742,,False,False
915.65,943.95,913.75,939.35,17466047,,938.0640523297005,937.163326961239,,,876.9988520640844,,943.95,51.35412079373375,0.8439342528075713,,,932.35,936.4009168848872,60.53430479659993,-54.73157934691777,-10.195732116927694,-10.195732116927694,0.13870625896649003,64.38979963570134,961.3618944895164,937.0800000000002,912.7981055104839,30.200000000000045,888.0799999999999,969.6200000000001,11.996144424797638,6.875898436803933,5.399356655295294,56.014301822774314,59032231,0.695364238410595,12145264.470198657,,False,False
902.8,918.0,899.85,914.65,9103656,,933.3812418637605,935.1166608738537,,,846.6839668576758,,945.0,40.49994817281373,-1.0611595430309535,0.2838042597596537,-1.3449638027906072,910.8333333333334,931.2874001745765,47.85055526508314,-169.63967679222003,-34.72556975928036,-34.72556975928036,-11.210781518299935,25.063505503810273,959.2077893513193,934.9399999999999,910.6722106486806,39.5,844.925,972.9250000000001,10.342432455225737,5.959111978563409,6.058433428619352,49.58676482305371,49928575,0.6308539944903552,5743077.752066089,,False,False
897.5,906.9,895.7,904.65,5351099,,927.6349934910085,932.346964430776,,,837.7955701719084,,943.95,37.08267129884578,-3.3393822087957687,-0.44083303395143086,-2.8985491748443377,902.4166666666666,925.5132534729946,34.53823251485827,-139.3470652056447,-50.82118444333641,-50.82118444333641,-24.460197916845765,14.161392405063198,956.3365707194494,932.0575000000001,907.7784292805509,18.949999999999932,871.8425000000001,930.7574999999999,13.060363932930954,5.164563714754955,6.992024162527566,42.48366208421173,44577476,0.5982142857142833,3201103.8660714156,,False,False
907.0,907.3,897.6,899.2,5098164,,921.9479947928069,929.3336040279781,,,836.1210131547176,,941.0550000000001,35.33288126077677,-5.5210166938389875,-1.4568697659289422,-4.064146927910045,901.3666666666668,920.683936111729,14.920957530805927,-101.37599721202442,-58.59884794621149,-58.59884794621149,-38.58533356643899,5.53797468354431,957.6720790485456,929.9375,902.2029209514544,9.699999999999932,889.3550000000001,915.5449999999998,16.669501274101464,4.475955219454295,8.282354444070753,35.0826664150556,39479312,-0.6701030927834981,-3416295.46391749,,False,False
898.3,907.0,891.4,905.15,7988851,,918.5883958342455,927.1350945708892,,,843.6989118392457,,938.3337,38.73190688527092,-6.692713037461658,-2.5040384202354855,-4.188674617226173,901.1833333333334,916.78381555605,13.356579152992628,-78.2991554649286,-61.62966448755259,-61.62966448755259,-51.44381665909521,20.37037037037037,958.1892161734295,928.5074999999999,898.8257838265704,15.600000000000023,878.14,920.26,17.35860191968404,6.193641446151594,7.178040518194653,46.31909031837646,47468163,0.7628205128205102,6094059.416666646,,False,False
