date,open,high,low,close,volume,atr,rsi,sma,ema_20,ema_9,bb_h,bb_l,vwap,obv,ad_line,adx,aroon,macd,macd_diff,macd_signal
2024-07-30 15:15:00+05:30,12870.0,12900.0,12868.95,12890.0,27555,44.4666668352686,58.26877280508808,12866.3125,12860.692925500125,12883.898355406816,12974.880832744808,12757.744167255192,12895.138223308453,343280,300932.7794908756,40.7561071916656,48.0,34.05674479216941,-6.2912397589375,40.34798455110691
2024-07-31 09:15:00+05:30,12980.0,13076.3,12933.2,12972.1,95612,54.59761920417793,67.60511809234856,12878.07,12871.303123071542,12901.538684325455,12978.695023726637,12777.444976273362,12922.1869385228,438892,257302.70541680156,42.44377658855598,88.0,38.923690221910874,-1.1394354633568327,40.06312568526771
2024-07-31 09:30:00+05:30,12967.5,12979.0,12895.15,12906.35,37780,56.68707497530811,56.67036371618591,12885.977499999999,12874.640920874253,12902.500947460365,12967.598511234766,12804.356488765232,12925.39397345236,401112,229615.39474297987,42.50783574520052,88.0,37.04823504325395,-2.411912513611007,39.46014755686496
2024-07-31 09:45:00+05:30,12906.35,12964.95,12900.0,12953.4,17519,57.277283905643294,61.47264117075148,12895.7475,12882.141785552896,12912.680757968294,12958.306979497398,12833.188020502601,12927.563783786825,418631,240903.61876145512,42.56607134215011,88.0,38.90993557230286,-0.4401695876496845,39.35010515995254
2024-07-31 10:00:00+05:30,12953.4,12970.0,12930.0,12945.05,14592,56.043192198097344,60.19751747277495,12900.875,12888.133044071668,12919.154606374635,12961.929168571729,12839.820831428271,12930.114893474205,404039,237292.09876145457,42.70191056001229,88.0,39.25901791760043,-0.07286979388169357,39.331887711482125
2024-07-31 10:15:00+05:30,12945.05,12990.0,12945.0,12975.4,10793,55.2543927553761,63.18657053492615,12904.27,12896.44418273151,12930.403685099709,12973.433027695331,12835.10697230467,12931.770322412991,414832,241081.64098367663,43.157538749763,84.0,41.50620188707762,1.7394513404763998,39.76675054660122
2024-07-31 10:30:00+05:30,12972.0,12995.0,12970.0,12985.0,12774,53.09336470142067,64.10481203577214,12910.02,12904.878070090414,12941.322948079767,12985.64971902622,12834.390280973781,12936.496933830078,427606,243636.4409836766,43.65561240631819,80.0,43.5596229242783,3.0342979021416596,40.52532502213664
2024-07-31 10:45:00+05:30,12985.0,12996.0,12930.3,12986.25,38133,53.993838651319244,64.2299226001289,12916.415,12912.62777770085,12950.308358463815,12995.056688054014,12837.773311945988,12941.726469033247,465739,270451.4272850466,42.304166069600214,76.0,44.77173772066999,3.397130158826677,41.37460756184331
2024-07-31 11:00:00+05:30,12986.25,13022.6,12978.1,13015.5,42917,53.31570731908216,67.1180470042641,12923.685000000001,12922.425132205532,12963.346686771054,13010.331725846881,12837.038274153121,12950.931019834612,508656,299673.5643636976,41.65558244197696,72.0,47.544514410485135,4.935925478913454,42.60858893157168
2024-07-31 11:15:00+05:30,13015.5,13030.0,12986.95,13001.5,34526,52.582442510576236,64.43632575401912,12929.1625,12929.95607199548,12970.977349416844,13020.79904224699,12837.52595775301,12956.691554438352,474130,288485.696767878,41.2232367243236,68.0,48.0582908550914,4.359761538815775,43.698529316275625
2024-07-31 11:30:00+05:30,13001.5,13006.7,12985.0,12992.15,13342,50.376553759820844,62.63634045926777,12932.872500000001,12935.879303234007,12975.211879533475,13028.321651253347,12837.423348746655,12959.577845388008,460788,283935.89031626435,40.73466600108395,7.999999999999993,47.16728048143341,2.7750009321262255,44.39227954930718
2024-07-31 11:45:00+05:30,12992.15,13001.0,12966.65,12971.55,29847,49.23179991983367,58.74289725256835,12935.8575,12939.276512449816,12974.47950362678,13032.219838467807,12839.495161532193,12962.581205571147,430941,262604.1916263073,39.38147869791026,8.0,44.28837172165731,-0.08312626211989738,44.37149798377721
2024-07-31 12:00:00+05:30,12974.65,12974.65,12910.0,12965.0,39281,50.33309992555981,57.51863405355326,12940.6475,12941.726368406977,12972.583602901424,13032.70800442499,12848.586995575008,12965.032544235402,391660,290158.6131266944,35.86341990346414,8.000000000000007,41.00559851417893,-2.6927195756786304,43.69831808985756
2024-07-31 12:15:00+05:30,12965.0,12965.7,12930.0,12946.05,9793,49.28787850230559,54.01145524109052,12942.65,12942.138142844407,12967.27688232114,13033.340925676077,12851.959074323922,12970.168655567179,381867,289171.0837149291,32.66518463578585,8.0,36.45464402382822,-5.794939252823468,42.24958327665169
2024-07-31 12:30:00+05:30,12946.05,12966.0,12917.1,12944.9,16801,49.260172894998014,53.797076690047376,12945.1375,12942.401176859226,12962.801505856913,13033.170765729405,12857.104234270597,12974.636714445709,365066,291473.06122004124,30.111538077741827,8.0,32.38190595846754,-7.894141854547321,40.27604781301486
2024-07-31 12:45:00+05:30,12944.7,12950.85,12922.1,12945.85,18779,47.7951605453553,53.95964823538628,12946.130000000001,12942.729636205966,12959.411204685532,13033.724339999706,12858.535660000296,12967.225793984155,383845,303720.2351330847,27.790041206792715,8.0,28.89777321827205,-9.102619675794251,38.0003928940663
2024-07-31 13:00:00+05:30,12945.85,12957.75,12924.9,12954.9,8092,46.727649077829945,55.56371514084803,12948.805,12943.888718472064,12958.508963748425,13034.006959484415,12863.603040515585,12971.630425134581,391937,310408.1438088836,25.36877487110863,8.0,26.560657558937237,-9.151788268103253,35.71244582704049
2024-07-31 13:15:00+05:30,12950.0,12999.0,12950.0,12998.85,13786,46.88995985798495,62.412616671099435,12953.8875,12949.12312623663,12966.577170998742,13038.293257356854,12869.481742643147,12973.987357255526,405723,324109.7397272512,24.58468383602851,7.9999999999999964,27.932881386423105,-6.223651552493912,34.15653293891702
2024-07-31 13:30:00+05:30,12998.85,12999.5,12968.4,12976.55,8848,45.76210558241462,57.564546114319775,12959.715,12951.735209452188,12968.571736798995,13032.709781320202,12886.720218679799,12975.466722257304,396875,319899.1159330387,23.889689280220537,8.0,26.91074471124557,-5.796630582137162,32.70737529338273
2024-07-31 13:45:00+05:30,12976.55,12995.0,12964.9,12975.8,9086,44.643383755099315,57.40304610064061,12965.1075,12954.027094266266,12970.017389439196,13024.93645849824,12905.27854150176,12975.756343586538,387789,317393.6740725733,23.068627429120724,8.000000000000004,25.743421165609107,-5.571163302218903,31.31458446782801
